Drug name	Drug number	Line number	Advice Text	AdviceTag1	AdviceTag2	AdviceTag3	AdviceTag4	Medication	Food	Activity	Exercise	Disease
lithium	84	23	"Take this medication by mouth as directed by your doctor, usually 3-4 times daily. Take lithium with or immediately after meals to lessen stomach upset."	Drug administration related	Temporal	Food or beverage related						
lithium	84	25	"Drink 8 to 12 glasses (8 ounces or 240 milliliters each) of water or other fluid each day, and eat a healthy diet with normal amounts of salt (sodium) as directed by your doctor or dietician while taking this medication. Large changes in the amount of salt in your diet may change your lithium blood levels. Do not change the amount of salt in your diet unless your doctor tells you to do so."	Food or beverage related	Disease or symptom related				salt			
lithium	84	30	"Therefore, take this drug at evenly spaced intervals."	Drug administration related	Temporal							
lithium	84	32	"To help you remember, take it at the same times each day."	Drug administration related	Temporal							
lithium	84	62	"This product may contain inactive ingredients (such as propylene glycol), which can cause allergic reactions or other problems."	Disease or symptom related	Other drugs related							
lithium	84	67	"It can cause a serious (possibly fatal) abnormal heartbeat and other symptoms (such as severe dizziness, fainting, shortness of breath) that need medical attention right away. Brugada syndrome may cause death suddenly. Before starting lithium treatment, tell your doctor if you have any of the following risk factors: Brugada syndrome, unexplained fainting, family history of certain heart problems (Brugada syndrome, sudden unexplained death before 45 years old)."	Disease or symptom related								abnormal heartbeat and other symptoms ; severe dizziness; fainting; shortness of breath;
lithium	84	70	"This drug may make you dizzy or drowsy or cause blurred vision. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness or clear vision		
lithium	84	72	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
lithium	84	74	"Take care in hot weather or during activities that cause you to sweat heavily, such as during hot baths, saunas, or exercise."	Activity or lifestyle related	Exercise related					hot baths; saunas;exercise;		
lithium	84	76	"This medication is not recommended for use during pregnancy. It may harm an unborn baby. However, since untreated mental/mood problems (such as bipolar disorder) can harm a pregnant woman and her unborn baby, do not stop taking this medication unless directed by your doctor. Instead, ask your doctor if a different medication would be right for you."	Pregnancy related		Temporal						
lithium	84	80	"If you are planning pregnancy, become pregnant, or think you may be pregnant, tell your doctor right away."	Pregnancy related								
lithium	84	81	"Lithium passes into breast milk and may have undesirable effects on a nursing infant. Therefore, breast-feeding is not recommended while using this drug. Consult your doctor before breast-feeding."	Pregnancy related								
lithium	84	91	Eat a normal diet with an average amount of sodium. Ask your doctor or dietician for more details.	Food or beverage related								
Lopressor	85	12	"When gradually stopping this medication, it is recommended that you temporarily limit physical activity to decrease strain on the heart. Get medical help right away if you develop chest pain/tightness/pressure, chest pain spreading to the jaw/neck/arm, unusual sweating, trouble breathing, or fast/irregular heartbeat."	Activity or lifestyle related	Exercise related	Disease or symptom related						chest pain;tightness;pressure; chest pain spreading to the jaw;neck;arm; unusual sweating; trouble breathing;faSt.irregular heartbeat;
Lopressor	85	22	"Take this medication by mouth, with or right after a meal, as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal						
Lopressor	85	45	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related	Disease or symptom related							dizziness and lightheadedness
Lopressor	85	69	"If you have diabetes, this product may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Disease or symptom related								diabetes; hypoglycemia
Lopressor	85	74	"Your doctor may need to adjust your diabetes medication, exercise program, or diet."	Activity or lifestyle related	Disease or symptom related	Exercise related	Food or beverage related					
Lopressor	85	76	"This drug may make you dizzy or drowsy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness		
Lopressor	85	78	Limit alcoholic beverages.	Food or beverage related								
Lopressor	85	79	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby."	Pregnancy related								
Lopressor	85	82	This drug passes into breast milk. Discuss the risks and benefits with your doctor before breast-feeding.	Pregnancy related								
Lopressor	85	89	"Other medications can affect the removal of metoprolol from your body, which may affect how metoprolol works. Examples include lumefantrine, propafenone, quinidine, SSRI antidepressants (such as fluoxetine, paroxetine), St. John's wort, among others."	Other drugs related				lumefantrine; propafenone; quinidine; SSRI antidepressants ; fluoxetine; paroxetine; St. John's wort;				
Lopressor	85	92	"Check the labels on all your medicines (such as cough-and-cold products, diet aids, or NSAIDs such as ibuprofen, naproxen) because they may contain ingredients that could increase your blood pressure/heart rate or worsen your heart failure."	Other drugs related				cough-and-cold products; diet aids;NSAIDs ; ibuprofen; naproxen				
lorazepam	86	23	"To help you remember, use it at the same time(s) each day."	Drug administration related	Temporal							
lorazepam	86	54	"PRECAUTIONS:  Before taking lorazepam, tell your doctor or pharmacist if you are allergic to it; or to other benzodiazepines (such as alprazolam, clonazepam, diazepam); or if you have any other allergies."	Other drugs related				alprazolam; clonazepam; diazepam				
lorazepam	86	58	"This drug may make you dizzy or drowsy or cause blurred vision. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Activity or lifestyle related	Disease or symptom related					drive; use machinery;do any activity that requires alertness or clear vision		dizzy;drowsy;cause blurred vision
lorazepam	86	60	Avoid alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
lorazepam	86	72	This drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
lorazepam	86	78	"Some products that may interact with this drug include: clozapine, kava, sodium oxybate (also known as gamma hydroxybutyrate or GHB)."	Other drugs related				clozapine; kava; sodium oxybate ; gamma hydroxybutyrate;GHB;				
lorazepam	86	79	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including certain antihistamines (such as diphenhydramine), other medicines for sleep or anxiety (such as diazepam, zolpidem), muscle relaxants, narcotic pain relievers (such as codeine), psychiatric medicines (such as chlorpromazine, risperidone, amitriptyline, trazodone)."	Other drugs related				antihistamines ; diphenhydramine; medicines for sleep; medicines for anxiety ; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine; psychiatric medicines ; chlorpromazine; risperidone; amitriptyline; trazodone;				
lorazepam	86	80	Check the labels on all your medicines (such as allergy or cough-and-cold products) because they may contain ingredients that cause drowsiness.	Other drugs related								
Lotrel	88	8	"WARNING:  Benazepril (one of the ingredients in this product) can cause serious (possibly fatal) harm to an unborn baby if used during pregnancy. It is important to prevent pregnancy while taking this medication. Consult your doctor for more details and to discuss the use of reliable forms of birth control while taking this medication. If you are planning pregnancy, become pregnant, or think you may be pregnant, tell your doctor right away."	Pregnancy related								
Lotrel	88	21	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Lotrel	88	29	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						rising from a sitting or lying position;		
Lotrel	88	48	"PRECAUTIONS:  Before taking this medication, tell your doctor or pharmacist if you are allergic to amlodipine or benazepril; or to other dihydropyridine calcium channel blockers (such as nisoldipine, nifedipine); or to other ACE inhibitors (such as captopril, lisinopril); or if you have any other allergies."	Other drugs related				amlodipine;benazepri				
Lotrel	88	52	"This drug may make you dizzy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness		
Lotrel	88	54	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol;			
Lotrel	88	57	Be sure to drink enough fluids to prevent dehydration unless your doctor directs you otherwise.	Food or beverage related					fluids			
Lotrel	88	74	"Some products that may interact with this drug include: aliskiren, certain drugs that weaken the immune system/increase the risk of infection (such as everolimus, sirolimus), lithium, drugs that may increase the level of potassium in the blood (such as ARBs including losartan/valsartan, birth control pills containing drospirenone), gold injections, sacubitril."	Other drugs related				aliskiren;verolimus; sirolimus; ARBs ; losartan; valsartan; birth control pills ; drospirenone; gold injections; sacubitril;				
Lotrel	88	75	Some products have ingredients that could raise your blood pressure.	Other drugs related	Disease or symptom related							
Lotrel	88	76	"Tell your pharmacist what products you are using, and ask how to use them safely (especially cough-and-cold products, diet aids, or NSAIDs such as ibuprofen/naproxen)."	Other drugs related				cough-and-cold products; diet aids;NSAIDs ; ibuprofen; naproxen				
Lotrel	88	77	A very serious reaction may occur if you are getting injections for bee/wasp sting allergy (desensitization) and are also taking benazepril.	Other drugs related	Disease or symptom related			benazepril				bee;wasp sting allergy
Lovenox	89	30	"To help you remember, use it at the same time(s) each day."	Drug administration related	Temporal							
Lovenox	89	62	Limit alcohol while taking this drug because it may increase the risk of stomach bleeding.	Food or beverage related	Disease or symptom related			alcohol				stomach bleeding;
Lovenox	89	64	"To lower the chance of getting cut, bruised, or injured, use caution with sharp objects like razors and nail cutters, and avoid activities such as contact sports."	Activity or lifestyle related	Exercise related					sharp objects like razors and nail cutters; contact sports;	contact sports;	
Lovenox	89	66	"During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor. Pregnant women with artificial heart valves need close monitoring (see Notes)."	Pregnancy related								
Lovenox	89	69	It is unknown if this drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Lovenox	89	75	A product that may interact with this drug is: mifepristone.	Other drugs related				mifepristone				
Lovenox	89	76	"This medication is sometimes used together with other drugs that have ""blood thinning"" or anti-platelet effects such as aspirin, clopidogrel, or warfarin. When these combinations are prescribed by your doctor, you will require closer monitoring to minimize your risk of bleeding."	Other drugs related				aspirin; clopidogrel;warfarin				
Lovenox	89	79	"Check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers (NSAIDs such as ibuprofen, naproxen, or aspirin) which can increase the risk of bleeding/anti-platelet effect when used with enoxaparin."	Other drugs related				NSAIDs ; ibuprofen; naproxen;aspirin;				
Lyrica	92	14	"Take this medication by mouth as directed by your doctor, usually 2 to 3 times a day with or without food."	Food or beverage related	Drug administration related	Temporal						
Lyrica	92	57	Avoid alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
Lyrica	92	60	"During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor."	Pregnancy related								
Lyrica	92	62	This drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Lyrica	92	68	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including alcohol, antihistamines (such as cetirizine, diphenhydramine), drugs for sleep or anxiety (such as alprazolam, diazepam, zolpidem), muscle relaxants, and narcotic pain relievers (such as codeine)."	Other drugs related				antihistamines ; cetirizine; diphenhydramine; drugs for sleep or anxiety ; alprazolam; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine;	alcohol			
Metformin	94	24	Metformin may be used with lifestyle changes such as diet and exercise to prevent diabetes in people who are at high risk for becoming diabetic.	Food or beverage related	Exercise related	Disease or symptom related						diabetic
Metformin	94	29	"Take this medication by mouth as directed by your doctor, usually 1-3 times a day with meals."	Food or beverage related	Drug administration related	Temporal						
Metformin	94	30	Drink plenty of fluids while taking this medication unless otherwise directed by your doctor.	Food or beverage related	Drug administration related				fluids			
Metformin	94	38	Remember to use it at the same times each day.	Drug administration related	Temporal							
Metformin	94	54	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Other drugs related	Food or beverage related	Disease or symptom related		glucose tablets;gel	table sugar; honey;candy;drink fruit juice;non-diet soda;			low blood sugar
Metformin	94	57	"Low blood sugar is more likely if you drink large amounts of alcohol, do unusually heavy exercise, or do not consume enough calories from food. To help prevent low blood sugar, eat meals on a regular schedule, and do not skip meals. Check with your doctor or pharmacist to find out what you should do if you miss a meal."	Food or beverage related	Exercise related	Disease or symptom related			alcohol	heavy exercise;	heavy exercise	Low blood suga
Metformin	94	85	Limit alcohol while using this medication because it can increase your risk of lactic acidosis and developing low blood sugar.	Food or beverage related								
Metformin	94	88	Be sure to drink enough fluids to prevent dehydration unless your doctor directs you otherwise.	Food or beverage related					fluids			
Metformin	94	92	"During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor. Your doctor may direct you to use insulin instead of this product during your pregnancy. Follow your doctor's instructions carefully."	Pregnancy related	Drug administration related	Other drugs related		insulin				
Metformin	94	98	Metformin passes into breast milk in small amounts. Consult your doctor before breast-feeding.	Pregnancy related								
Metformin	94	104	"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related				metoprolol; propranolol; glaucoma eye drops ; timolol				
Metformin	94	106	"Many drugs can affect your blood sugar levels, making it more difficult to control your blood sugar."	Other drugs related								
Metoprolol	95	22	"Take this medication by mouth, with or right after a meal, as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal						
Metoprolol	95	45	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related								dizziness ; lightheadedness;
Metoprolol	95	48	"This drug may reduce blood flow to your hands and feet, causing them to feel cold."	Disease or symptom related								
Metoprolol	95	49	Smoking may worsen this effect. 	Activity or lifestyle related						Smoking		
Metoprolol	95	49	Dress warmly and avoid tobacco use.	Activity or lifestyle related						Dress warmly; smoking; 		
Metoprolol	95	69	"If you have diabetes, this product may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Disease or symptom related								diabetes
Metoprolol	95	78	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
Metoprolol	95	79	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby. Discuss the risks and benefits with your doctor."	Pregnancy related								
Metoprolol	95	82	This drug passes into breast milk. Discuss the risks and benefits with your doctor before breast-feeding.	Pregnancy related								
Metoprolol	95	88	A product that may interact with this drug is: fingolimod.	Other drugs related				fingolimod				
Metoprolol	95	89	"Other medications can affect the removal of metoprolol from your body, which may affect how metoprolol works. Examples include lumefantrine, propafenone, quinidine, SSRI antidepressants (such as fluoxetine, paroxetine), St. John's wort, among others."	Other drugs related				lumefantrine; propafenone; quinidine; SSRI antidepressants ; fluoxetine; paroxetine; St. John's wort; ;				
Metoprolol	95	92	"Check the labels on all your medicines (such as cough-and-cold products, diet aids, or NSAIDs such as ibuprofen, naproxen) because they may contain ingredients that could increase your blood pressure/heart rate or worsen your heart failure."	Other drugs related				cough-and-cold products; diet aids;NSAIDs ; ibuprofen; naproxen				
Naprosyn	99	24	"Take this medication by mouth as directed by your doctor, usually 2 or 3 times a day with a full glass of water (8 ounces/240 milliliters)."	Food or beverage related	Drug administration related	Temporal			water			
Naprosyn	99	25	Do not lie down for at least 10 minutes after taking this drug.	Activity or lifestyle related	Drug administration related	Temporal						
Naprosyn	99	26	"To prevent stomach upset, take this medication with food, milk, or an antacid."	Food or beverage related	Drug administration related	Other drugs related	Disease or symptom related		food; milk;an antacid;			stomach upset
Naprosyn	99	60	"Kidney problems can sometimes occur with the use of NSAID medications, including naproxen."	Other drugs related				NSAID medications; ; naproxen;				
Naprosyn	99	62	Drink plenty of fluids as directed by your doctor to prevent dehydration and tell your doctor right away if you have a change in the amount of urine.	Food or beverage related					fluids			
Naprosyn	99	63	"This drug may make you dizzy or drowsy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness		
Naprosyn	99	66	"Daily use of alcohol and tobacco, especially when combined with this medicine, may increase your risk for stomach bleeding. Limit alcohol and stop smoking."	Food or beverage related	Activity or lifestyle related	Disease or symptom related			alcohol	smoking;		stomach bleeding
Naprosyn	99	69	"This medication may make you more sensitive to the sun. Avoid prolonged sun exposure, tanning booths, and sunlamps. Use a sunscreen and wear protective clothing when outdoors."	Disease or symptom related	Activity or lifestyle related					sun exposure; tanning booths; sunlamps		
Naprosyn	99	76	"Before using this medication, women of childbearing age should talk with their doctor(s) about the benefits and risks (such as miscarriage, trouble getting pregnant). Tell your doctor if you are pregnant or if you plan to become pregnant."	Pregnancy related								
Naprosyn	99	78	"During pregnancy, this medication should be used only when clearly needed. It is not recommended for use during the first and last trimesters of pregnancy due to possible harm to the unborn baby and interference with normal labor/delivery."	Pregnancy related	Temporal							
Naprosyn	99	80	This drug passes into breast milk and may have undesirable effects on a nursing infant. Consult your doctor before breast-feeding.	Pregnancy related								
Naprosyn	99	86	"Products that may interact with this drug include: aliskiren, ACE inhibitors (such as captopril, lisinopril), angiotensin II receptor blockers (such as losartan, valsartan), cidofovir, corticosteroids (such as prednisone), lithium, ""water pills"" (diuretics such as furosemide)."	Other drugs related				ACE inhibitors ; captopril; lisinopril; angiotensin II receptor blockers ; losartan; valsartan; cidofovir; corticosteroids ; prednisone; lithium; water pills ;diuretics ; furosemide;				
Naprosyn	99	87	"This medication may increase the risk of bleeding when taken with other drugs that also may cause bleeding. Examples include anti-platelet drugs such as clopidogrel, ""blood thinners"" such as dabigatran/enoxaparin/warfarin, among others."	Other drugs related				clopidogrel; blood thinners; dabigatran; enoxaparin; warfarin; 				
Naprosyn	99	89	"Check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers (aspirin, NSAIDs such as celecoxib, ibuprofen, or ketorolac). These drugs are similar to naproxen and may increase your risk of side effects if taken together. However, if your doctor has directed you to take low-dose aspirin to prevent heart attack or stroke (usually at dosages of 81-325 milligrams a day), you should continue taking the aspirin unless your doctor instructs you otherwise."	Other drugs related				pain relievers; fever reducers ;aspirin; NSAIDs ; celecoxib; ibuprofen;ketorolac;				
Naprosyn	99	95	Do not increase your daily dose of aspirin or change the way you take aspirin/other medications without your doctor's approval.	Other drugs related				aspirin				
Naprosyn	99	106	"If you have arthritis, lifestyle changes (such as weight loss if needed, strengthening/conditioning exercises) may help improve your flexibility and joint function."	Activity or lifestyle related	Exercise related					strengthening exercises;conditioning exercises; 	strengthening exercises;conditioning exercises	
Nexium	100	15	"Take this medication by mouth as directed by your doctor, usually once daily, at least 1 hour before a meal."	Food or beverage related	Drug administration related	Temporal						
Nexium	100	24	"If you are taking any other strength of this medication, empty the contents of a packet into a container with 1 tablespoon (half an ounce or 15 milliliters) of water. Stir the mixture well and leave it for 2 to 3 minutes to thicken. Stir again and drink all of the mixture within 30 minutes. If any medication remains in the container, add more water, stir, and drink right away to make sure you take the entire dose."	Drug administration related	Temporal	Food or beverage related			water;			
Nexium	100	31	"If needed, antacids may be taken along with this medication."	Other drugs related	Drug administration related							
Nexium	100	32	"If you are also taking sucralfate, take esomeprazole at least 30 minutes before sucralfate."	Other drugs related	Temporal							
Nexium	100	34	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Nexium	100	46	Do not use anti-diarrhea products or narcotic pain medications if you have any of the following symptoms because these products may make them worse.	Other drugs related				anti-diarrhea products; narcotic pain medications				
Nexium	100	48	"Rarely, proton pump inhibitors (such as esomeprazole) have caused vitamin B-12 deficiency. The risk is increased if they are taken every day for a long time (3 years or longer)."	Disease or symptom related	Temporal							
Nexium	100	50	"Tell your doctor right away if you develop symptoms of vitamin B-12 deficiency (such as unusual weakness, sore tongue, or numbness/tingling of the hands/feet)."	Disease or symptom related								unusual weakness; sore tongue;numbness;tingling of the hands;feet;
Nexium	100	62	"PRECAUTIONS:  Before taking esomeprazole, tell your doctor or pharmacist if you are allergic to it; or to other PPIs (such as lansoprazole, omeprazole); or if you have any other allergies."	Other drugs related				lansoprazole; omeprazole				
Nexium	100	74	"It is unknown if this medication passes into breast milk. However, similar drugs pass into breast milk. The effects on a nursing infant are unknown. Consult your doctor before breast-feeding."	Pregnancy related								
Nexium	100	83	"Some products that may interact with this drug include: cilostazol, clopidogrel, methotrexate (especially high-dose treatment), rifampin, St John's wort."	Other drugs related				cilostazol; clopidogrel; methotrexate ; rifampin; St John's wort;				
Nexium	100	84	"Some products need stomach acid so that the body can absorb them properly. Esomeprazole decreases stomach acid, so it may change how well these products work. Some affected products include atazanavir, erlotinib, nelfinavir, pazopanib, rilpivirine, certain azole antifungals (itraconazole, ketoconazole, posaconazole), among others."	Other drugs related				atazanavir; erlotinib; nelfinavir; pazopanib; rilpivirine;  azole antifungals ;itraconazole; ketoconazole; posaconazole; ;				
Nexium	100	87	Esomeprazole is very similar to omeprazole. Do not use any medications containing omeprazole while using esomeprazole.	Other drugs related				Esomeprazole				
NitroQuick	101	8	"USES:  This medication is used before physical activities (such as exercise, sexual activity) to prevent chest pain (angina) in people with a certain heart condition (coronary artery disease)."	Activity or lifestyle related	Exercise related	Drug administration related	Disease or symptom related			physical activities ; exercise; sexual activity;		
NitroQuick	101	16	Sit down before using this medication. Place 1 tablet under the tongue and allow it to dissolve as directed by your doctor.	Activity or lifestyle related	Drug administration related					Sit down		
NitroQuick	101	20	"If you are using this medication to prevent chest pain before physical activities, use it 5 to 10 minutes before the activity."	Activity or lifestyle related	Drug administration related	Temporal	Exercise related			physical activities ; exercise;		chest pain
NitroQuick	101	21	"If you are using this medication to relieve chest pain once it occurs, use it as soon as possible. If your chest pain has not improved or if it has worsened 5 minutes after you use this drug, call emergency medical help (911). After calling the emergency number, use another dose. Five minutes after the second dose, if you still have chest pain and the ambulance has not arrived, use a third dose. If your chest pain is not gone after 15 minutes and 3 doses of nitroglycerin, call emergency medical help (911) if you have not called already. Do not use more than 3 doses during an attack unless directed by your doctor."	Drug administration related	Temporal							chest pain
NitroQuick	101	47	"PRECAUTIONS:  Before using this medication, tell your doctor or pharmacist if you are allergic to it; or to similar drugs (such as isosorbide mononitrate); or to nitrites; or if you have any other allergies."	Other drugs related								
NitroQuick	101	53	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
NitroQuick	101	58	It is unknown if this medication passes into breast milk or if it may harm a nursing infant. Consult your doctor before breast-feeding.	Pregnancy related								
NitroQuick	101	64	"Some products that may interact with this drug include: drugs used to treat erectile dysfunction-ED or pulmonary hypertension (such as sildenafil, tadalafil), certain drugs to treat migraine headaches (ergot alkaloids such as ergotamine), riociguat."	Other drugs related	Disease or symptom related			sildenafil; tadalafil; ergot alkaloids ; ergotamine; riociguat;				
Norvasc	103	16	"HOW TO USE:  Take this medication by mouth with or without food as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal						
Norvasc	103	21	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Norvasc	103	26	Use other medications (such as sublingual nitroglycerin) to relieve an angina attack as directed by your doctor.	Disease or symptom related	Other drugs related			sublingual nitroglycerin				
Norvasc	103	31	"To lower your risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related								
Norvasc	103	52	"This drug may make you dizzy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness		
Norvasc	103	54	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
Norvasc	103	57	"During pregnancy, this medication should be used only when clearly needed."	Pregnancy related								
Norvasc	103	59	This drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Novolin	104	31	"Inject this medication under the skin as directed by your doctor, usually 30 minutes before meals. Because this insulin is fast-acting, not eating right after a dose of this insulin may lead to low blood sugar (hypoglycemia)."	Food or beverage related	Drug administration related	Temporal	Disease or symptom related					low blood sugar ;hypoglycemia;
Novolin	104	50	"To help you remember, use it at the same times each day."	Drug administration related	Temporal							
Novolin	104	60	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Other drugs related	Food or beverage related			glucose tablets;gel	table sugar; honey;candy;drink fruit juice;non-diet soda;			
Novolin	104	86	Limit alcohol while taking this medication because it can increase your risk of developing low blood sugar.	Food or beverage related	Disease or symptom related							low blood sugar;
Novolin	104	92	"If traveling across time zones, ask your doctor about how to adjust your insulin schedule."	Activity or lifestyle related	Drug administration related							
Novolin	104	93	Take extra insulin and supplies with you.									
Novolin	104	96	Tell your doctor right away if you are pregnant. Pregnancy may cause or worsen diabetes. Discuss a plan with your doctor for managing your blood sugar while pregnant. Your doctor may change your diabetes treatment during your pregnancy (such as diet and medications including insulin).	Pregnancy related	Food or beverage related							
Novolin	104	100	"This medication passes into breast milk, but is unlikely to harm a nursing infant. Consult your doctor before breast-feeding. Your insulin needs may change while breast-feeding."	Pregnancy related								
Novolin	104	107	A product that may interact with this drug is: rosiglitazone.	Other drugs related				rosiglitazone				
Novolin	104	108	"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related				metoprolol; propranolol; glaucoma eye drops ; timolol;				
NovoLog	105	8	USES:  Insulin aspart is used with a proper diet and exercise program to control high blood sugar in people with diabetes.	Food or beverage related	Exercise related	Disease or symptom related						
NovoLog	105	28	"Inject this medication under the skin as directed by your doctor, usually 5 to 10 minutes before meals."	Food or beverage related	Drug administration related	Temporal						
NovoLog	105	30	"Because this insulin is fast-acting, do not use insulin aspart if you are unable to eat right after the injection or if you have low blood sugar. Not eating right after a dose of this insulin may lead to low blood sugar (hypoglycemia)."	Food or beverage related	Drug administration related	Temporal						low blood sugar
NovoLog	105	55	"To help you remember, use it at the same times each day."	Drug administration related	Temporal							
NovoLog	105	65	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Other drugs related	Food or beverage related	Disease or symptom related		glucose tablets;gel; 	table sugar; honey;candy;drink fruit juice;non-diet soda;			low blood sugar
NovoLog	105	68	"To help prevent low blood sugar, eat meals on a regular schedule, and do not skip meals. Check with your doctor or pharmacist to find out what you should do if you miss a meal."	Food or beverage related	Disease or symptom related							low blood sugar
NovoLog	105	91	Limit alcohol while taking this medication because it can increase your risk of developing low blood sugar.	Food or beverage related					alcohol			
NovoLog	105	95	Check your blood sugar levels before and after exercise. You may need a snack beforehand.	Activity or lifestyle related	Exercise related	Food or beverage related	Temporal		snack;	exercise; 		low blood sugar
NovoLog	105	97	"If traveling across time zones, ask your doctor about how to adjust your insulin schedule. Take extra insulin and supplies with you."	Activity or lifestyle related								
NovoLog	105	105	"This medication passes into breast milk, but is unlikely to harm a nursing infant. Consult your doctor before breast-feeding. Your insulin needs may change while breast-feeding."	Pregnancy related								
NovoLog	105	113	"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related				metoprolol; propranolol; glaucoma eye drops ; timolol				
Pamelor	107	20	This medication may also be used to help quit smoking.	Activity or lifestyle related						smoking		
Pamelor	107	23	"Take this medication by mouth, usually 1 to 4 times daily or as directed by your doctor."	Drug administration related	Temporal							
Pamelor	107	30	"To help you remember, take it at the same time(s) each day."	Drug administration related	Temporal							
Pamelor	107	47	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						rising from a sitting or lying position;		
Pamelor	107	48	"To relieve dry mouth, suck on (sugarless) hard candy or ice chips, chew (sugarless) gum, drink water, or use a saliva substitute."	Food or beverage related	Disease or symptom related				hard candy;ice chips ;sugarless; chewing gum; drink water; saliva substitute;			dry mouth;
Pamelor	107	49	"To prevent constipation, maintain a diet adequate in fiber, drink plenty of water, and exercise. If you become constipated while using this drug, consult your pharmacist for help in selecting a laxative."	Food or beverage related	Exercise related	Other drugs related			water; fiber; 			
Pamelor	107	70	"Before taking nortriptyline, tell your doctor or pharmacist if you are allergic to it; or to other tricyclic antidepressants (such as amitriptyline); or if you have any other allergies."	Other drugs related				amitriptyline				
